频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间
[VGA]hbo 2 *s,https://t.freetv.fun/live/hbo-2-s.m3u8,,HBO 2 HD,United States,United States,https://epg.pw/media/images/channel/2016/06/18/large/20160618150034715461_79.jpg,Movies,768x432,freetv-fun-all.txt,16,403,成功,h264,768x432,29.97002997002997,有音频,1.678
[BD]ช่อง estrella tv,https://t.freetv.fun/live/ch-ng-estrella-tv.m3u8,,Estrella TV,United States,United States,https://epg.pw/media/images/channel/2024/04/04/large/20240404163520450680_81.png,Entertainment,1280x720,freetv-fun-all.txt,18,403,成功,h264,1280x720,30.0,有音频,5.543
[BD]eet tv,https://t.freetv.fun/live/eet-tv-1.m3u8,,EET TV Tamil,Sri lanka,Sri lanka,https://epg.pw/media/,Generic,1280x720,freetv-fun-all.txt,23,403,成功,h264,1280x720,59.94005994005994,有音频,2.878
[BD]paramount network spain,https://t.freetv.fun/live/paramount-network-spain.m3u8,,Paramount Network,United States,United States,https://epg.pw/media/images/channel/2025/01/31/large/20250131032010728735_96.png,Generic,1920x1080,freetv-fun-all.txt,21,403,成功,h264,1920x1080,25.0,有音频,3.124
[SD]rt documentary,https://t.freetv.fun/live/rt-documentary.m3u8,,CGTN Documentary,China,China,https://epg.pw/media/images/channel/2022/04/29/large/20220429020115798784_73.png,Knowledge,960x540,freetv-fun-all.txt,21,403,成功,h264,960x540,25.0,有音频,5.319
[VGA]arte network,https://t.freetv.fun/live/arte-network.m3u8,,Cartoon Network,United States,United States,https://epg.pw/media/images/channel/2025/01/28/large/20250128060650320978_43.jpg,Kids,854x480,freetv-fun-all.txt,18,403,成功,h264,854x480,25.0,有音频,4.458
[SD]nour al sharq,https://t.freetv.fun/live/nour-al-sharq.m3u8,,Nour El Sham,Saudi Arabia,Saudi Arabia,https://epg.pw/media/uploads/tmp_logo/2015/08/21/20150821090440609882_64.jpg,Generic,1024x576,freetv-fun-all.txt,295,403,成功,h264,1024x576,25.0,有音频,1.534
[HD]golf channel,https://t.freetv.fun/live/golf-channel-1.m3u8,,Golf Channel,United States,United States,https://epg.pw/media/images/channel/2024/03/13/large/20240313153240602039_65.png,Sports,1280x720,freetv-fun-all.txt,15,403,成功,h264,1280x720,59.94005994005994,有音频,3.466
[BD]dubai tv,https://t.freetv.fun/live/dubai-tv-1.m3u8,,Dubai Racing 2 TV,United Arab Emirates,United Arab Emirates,https://epg.pw/media/images/channel/2022/05/06/large/20220506163800003846_85.png,Sports,1920x1080,freetv-fun-all.txt,25,403,成功,h264,1920x1080,25.0,有音频,4.627
[BD]beyblade en español,https://t.freetv.fun/live/beyblade-en-espanol-1.m3u8,,CNN en Español,United States,United States,https://epg.pw/media/images/channel/2022/05/06/large/20220506174411879285_41.png,News,1920x1080,freetv-fun-all.txt,23,403,成功,h264,1920x1080,25.0,有音频,6.343
